"Timestamp","1. W jaki sposób najczęściej korzystasz z komputera? (proszę zaznacz odpowiedź najbliższą prawdy)","2. Jakiego systemu operacyjnego używasz?","3. Czy instalujesz samodzielnie wszystkie programy na swoim komputerze?","4. Czy kiedykolwiek znalazłeś/aś zainstalowany program którego nie rozpoznałeś/aś?","5. Jak bardzo legalność oprogramowania na Twoim komputerze ma dla Ciebie znaczenie?","6. Jak bardzo licencja oprogramowania ma dla Ciebie znaczenie?","7. Jaki problem uważasz za najważniejszy dla Ciebie w kontekście licencji?","8. Jak wyszukujesz informacji o licencji oprogramowania zainstalowanego na Twoim komputerze?","9. Czy zdarza Ci się mieć problem ze znalezieniem licencji/gwarancji oprogramowania którego używasz?","10. Czy w dowolnej chwili jesteś w stanie zestawić terminy ważności licencji na każdy program którego używasz/masz zainstalowany na komputerze?"
"2018/04/03 9:10:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 9:11:18 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","nie, dzielę użytek komputera z inną osobą lub osobami","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:11:21 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 9:11:41 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","tak, mam te dane spisane"
"2018/04/03 9:12:08 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","mało ważne","bardzo ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","nie"
"2018/04/03 9:12:56 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","nigdy o tym nie myślałem","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:13:49 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 9:14:31 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 9:16:10 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie, dzielę użytek komputera z inną osobą lub osobami","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","bardzo ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 9:16:51 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","tak, mam te dane spisane"
"2018/04/03 9:17:19 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 9:17:28 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","nie"
